AgentName             WinRate    MarginError    numTurns    victoryPoints    numRoadsBuilt    devCardsBought  usedDevCards                        settlementsBuilt    citiesBuilt    devCardVP    largestArmy    longestRoad  resourcesReceived                         totalResourcesReceivedPerTurn    totalResourcesDiscarded    totalResourcesStolen  resourcesFromDevCard               totalResourcesFromDevCard  resourcesFromBankTrade              finalResourceProduction              finalTradeRates                                                                                    setupResourceProduction               totalSetupResourceProduction  setupTradeRates                        setupResourceDiversity    turnsForFirstSettlement    noSettlementsBuilt    turnsForFirstCity    noCitysBuilt    numRoadsFor1stSettlement    totalResourcesFromBankTrade    goodSettlementBankTrades    badSettlementBankTrades    goodCityBankTrades    badCityBankTrades    goodRoadBankTrades    badRoadBankTrades    goodDevCardBankTrades    badDevCardBankTrades    neutralBankTrades    acceptedTrades    rejectedTrades    goodSettlementAcceptedTrades    badSettlementAcceptedTrades    goodCityAcceptedTrades    badCityAcceptedTrades    goodRoadAcceptedTrades    badRoadAcceptedTrades    goodDevCardAcceptedTrades    badDevCardAcceptedTrades    neutralAcceptedTrades    totalPlayerTrades    acceptedPlayerTrades    goodSettlementPlayerTrades    badSettlementPlayerTrades    goodCityPlayerTrades    badCityPlayerTrades    goodRoadPlayerTrades    badRoadPlayerTrades    goodDevCardPlayerTrades    badDevCardPlayerTrades    neutralPlayerTrades
------------------  ---------  -------------  ----------  ---------------  ---------------  ----------------  --------------------------------  ------------------  -------------  -----------  -------------  -------------  --------------------------------------  -------------------------------  -------------------------  ----------------------  -------------------------------  ---------------------------  ----------------------------------  -----------------------------------  -------------------------------------------------------------------------------------------------  ----------------------------------  ------------------------------  -----------------------------------  ------------------------  -------------------------  --------------------  -------------------  --------------  --------------------------  -----------------------------  --------------------------  -------------------------  --------------------  -------------------  --------------------  -------------------  -----------------------  ----------------------  -------------------  ----------------  ----------------  ------------------------------  -----------------------------  ------------------------  -----------------------  ------------------------  -----------------------  ---------------------------  --------------------------  -----------------------  -------------------  ----------------------  ----------------------------  ---------------------------  ----------------------  ---------------------  ----------------------  ---------------------  -------------------------  ------------------------  ---------------------
Player0                  0.27            8.7     22.77            7.29             9.82              3.81     [1.78, 0.31, 0.39, 0.24, 0.0]                1.66           1.46        0.79           0.23           0.43      [13.38, 12.96, 14.78, 18.61, 18.58]                               3.439                    9.13                    6.41     [0.3, 1.11, 0.0, 0.13, 0.0]                            1.54   [2.37, 2.2, 0.86, 2.27, 1.65]       [8.3, 7.61, 9.77, 11.13, 10.48]      [3.82, 3.85, 3.8, 3.84, 3.81]                                                                      [3.94, 3.37, 4.17, 5.07, 5.04]                              21.59   [3.99, 3.99, 3.97, 3.99, 3.99]                        3.87                      8.41683               0.2                   7.44937        0.26                        2.90581                           9.35                     0.36                           0                  0.32               0.02                    2.07                0.1                      0.85                    0.2                   5.13                    0                 0                               0                              0                         0                        0                         0                        0                            0                           0                        0                    0                       0                             0                            0                       0                      0                       0                      0                          0                         0                      0
Player0LossesStats      -1              -1       23.2603          6.19178          9.42466           3.06849  [1.411, 0.205, 0.37, 0.205, 0.0]             1.36986        1.19178     0.616438       0.136986       0.328767  [13.123, 12.479, 13.986, 18.0, 18.274]                            3.261                    9.05479                 7.08219  [0.274, 1.014, 0.0, 0.123, 0.0]                        1.411  [2.438, 2.164, 0.89, 2.384, 1.671]  [7.767, 6.603, 8.767, 9.178, 9.904]  [3.8493150684931505, 3.904109589041096, 3.767123287671233, 3.8767123287671232, 3.808219178082192]  [3.89, 3.027, 4.068, 5.137, 5.205]                          21.327  [3.986, 3.986, 3.959, 3.986, 3.986]                   3.73973                   8.31733               0.260274              7.07162        0.315068                    2.61205                           9.547                    0.383562                       0                  0.30137            0.0273973               1.94521             0.136986                 0.835616                0.205479              5.36986                 0                 0                               0                              0                         0                        0                         0                        0                            0                           0                        0                    0                       0                             0                            0                       0                      0                       0                      0                          0                         0                      0
Player1                  0.73            8.7     22.69            9.12             9.2               3.6      [1.98, 0.23, 0.24, 0.31, 0.0]                1.96           2.64        0.7            0.39           0.5       [12.39, 20.57, 12.08, 23.14, 14.55]                               3.646                   12.73                    4.48     [0.43, 0.42, 0.28, 0.36, 0.03]                         1.52   [2.14, 1.9, 1.98, 1.75, 1.97]       [8.76, 13.61, 8.22, 14.9, 9.74]      [3.6, 3.67, 3.62, 3.68, 3.66]                                                                      [3.24, 4.91, 2.95, 5.2, 3.62]                               19.92   [3.93, 3.99, 3.97, 3.95, 3.95]                        4.57                      9.43849               0.09                  8.38419        0.05                        2.58232                           9.74                     0.79                           0                  0.35               0.01                    2.07                0.11                     1.19                    0.49                  4.48                    0                 0                               0                              0                         0                        0                         0                        0                            0                           0                        0                    0                       0                             0                            0                       0                      0                       0                      0                          0                         0                      0
Player2                  0               8.7     22.23            2.58             5.04              1.06     [0.55, 0.09, 0.08, 0.1, 0.0]                 0.04           0.14        0.2            0.05           0.04      [4.52, 4.41, 6.64, 5.64, 7.74]                                    1.302                    2.44                    3.3      [0.13, 0.06, 0.14, 0.1, 0.12]                          0.55   [1.37, 1.41, 1.01, 1.24, 1.17]      [1.76, 1.9, 2.96, 2.41, 3.08]        [3.35, 3.44, 3.35, 3.46, 3.47]                                                                     [1.73, 1.8, 2.78, 2.18, 2.9]                                11.39   [3.37, 3.46, 3.39, 3.48, 3.49]                        2.68                      0.999596              0.96                  1.32163        0.88                        0.353393                          6.2                      0.09                           0.03               0.02               0.1                     0.89                0.08                     0.36                    0.3                   4.47                    0                 0                               0                              0                         0                        0                         0                        0                            0                           0                        0                    0                       0                             0                            0                       0                      0                       0                      0                          0                         0                      0
Player3                  0               8.7     22.52            2.61             4.99              1.4      [0.74, 0.11, 0.12, 0.11, 0.0]                0.04           0.19        0.22           0.04           0.01      [4.75, 5.48, 7.15, 8.38, 5.42]                                    1.385                    3                       3.8      [0.3, 0.16, 0.01, 0.02, 0.11]                          0.6    [1.25, 1.34, 1.05, 1.03, 1.24]      [1.95, 2.16, 2.91, 3.56, 1.86]       [3.59, 3.57, 3.73, 3.57, 3.58]                                                                     [1.95, 1.98, 2.81, 3.2, 2.0]                                11.94   [3.59, 3.58, 3.74, 3.6, 3.59]                         2.89                      0.605816              0.96                  2.26906        0.84                        0.181745                          5.91                     0.03                           0.03               0.04               0.1                     0.76                0.06                     0.39                    0.25                  4.26                    0                 0                               0                              0                         0                        0                         0                        0                            0                           0                        0                    0                       0                             0                            0                       0                      0                       0                      0                          0                         0                      0

Num turns: 0


Winnings:  [27, 73, 0, 0]
