Winner ,Points         ,Turns ,Agent Points ,Roads ,Settlements ,Cities ,Knights ,Largest Road ,Largest Army
robot2 ,5 | 9 | 7 | 10 ,   73 ,           5 ,    6 ,          1 ,     2 ,      2 ,           0 ,           0
robot1 ,6 | 10 | 6 | 6 ,   70 ,           6 ,    7 ,          4 ,     0 ,      1 ,           0 ,           0
robot2,2 | 8 | 6 | 10,72, 2, 2, 2, 0, 0, 0, 0
robot3,5 | 6 | 9 | 8,96, 5,12, 1, 1, 0, 1, 0
robot2,2 | 5 | 5 | 10,64, 2,10, 2, 0, 0, 0, 0
robot2,2 | 10 | 6 | 6,79, 2, 2, 2, 0, 0, 0, 0
robot2,3 | 8 | 5 | 10,78, 3, 4, 2, 0, 2, 0, 0
robot2,7 | 6 | 8 | 10,90, 7, 9, 4, 0, 1, 1, 0
robot1,3 | 7 | 6 | 10,54, 3, 2, 2, 0, 1, 0, 0
robot2,8 | 7 | 7 | 10,73, 8, 9, 2, 1, 2, 1, 0
robot3,4 | 8 | 10 | 5,65, 4,12, 2, 0, 1, 1, 0
robot2,3 | 11 | 7 | 4,71, 3,14, 3, 0, 0, 0, 0
robot1,7 | 6 | 6 | 10,91, 7,10, 4, 0, 1, 1, 0
robot2,9 | 7 | 5 | 10,98, 9,13, 5, 0, 1, 1, 0
robot3,7 | 4 | 7 | 10,74, 7, 9, 3, 0, 4, 1, 1
robot3,4 | 11 | 9 | 8,92, 4,12, 4, 0, 1, 0, 0
robot2,5 | 4 | 0 | 10,93, 5,15, 3, 0, 1, 1, 0
