Winner    ,Points         ,Turns ,Agent Points ,Roads ,Settlements ,Cities ,Knights ,Largest Road ,Largest Army
robot3,3 | 9 | 7 | 10,60, 3,11, 3, 0, 0, 0, 0
robot1,3 | 4 | 5 | 10,57, 3, 6, 1, 1, 2, 0, 0
robot3,2 | 10 | 5 | 3,53, 2, 4, 2, 0, 0, 0, 0
robot1,2 | 10 | 8 | 6,62, 2, 6, 2, 0, 0, 0, 0
robot3,5 | 8 | 7 | 10,85, 5, 8, 3, 0, 1, 1, 0
robot2,4 | 4 | 4 | 10,60, 4,10, 2, 0, 0, 1, 0
robot3,5 | 5 | 5 | 10,71, 5,10, 2, 1, 0, 0, 0
robot3,5 | 5 | 9 | 5,62, 5, 4, 1, 1, 3, 0, 1
robot1,7 | 8 | 5 | 10,80, 7, 4, 1, 2, 4, 0, 1
robot3,2 | 6 | 10 | 7,67, 2, 3, 2, 0, 0, 0, 0

AverageVP=3.8
