Winner    ,Points         ,Turns ,Agent Points ,Roads ,Settlements ,Cities ,Knights ,Largest Road ,Largest Army
robot1,5 | 10 | 7 | 6,78, 5, 4, 1, 1, 2, 0, 0
robot1,4 | 10 | 5 | 6,62, 4, 2, 0, 2, 0, 0, 0
robot3,7 | 6 | 6 | 10,76, 7, 9, 5, 1, 0, 0, 0
robot1,4 | 6 | 6 | 10,64, 4, 3, 0, 2, 0, 0, 0
robot2,3 | 5 | 5 | 10,77, 3,10, 3, 0, 1, 0, 0
robot3,7 | 10 | 7 | 6,77, 7, 8, 0, 3, 1, 0, 0
robot1,4 | 6 | 7 | 10,73, 4, 5, 1, 1, 1, 0, 0
robot1,3 | 10 | 4 | 4,57, 3, 3, 2, 0, 0, 0, 0
robot3,4 | 6 | 8 | 10,88, 4, 4, 0, 2, 0, 0, 0
robot1,7 | 5 | 5 | 10,75, 7, 6, 2, 1, 4, 0, 1

AverageVP=4.8
