Winner    ,Points         ,Turns ,Agent Points ,Roads ,Settlements ,Cities ,Knights ,Largest Road ,Largest Army
robot1,2 | 11 | 10 | 8,115, 2, 9, 2, 0, 0, 0, 0
robot3,9 | 9 | 10 | 8,97, 9,11, 4, 0, 0, 1, 0
robot2,4 | 10 | 6 | 6,70, 4, 6, 3, 0, 0, 0, 0
robot3,8 | 6 | 7 | 10,88, 8, 3, 0, 2, 3, 0, 1
robot2,8 | 9 | 10 | 9,94, 8, 9, 3, 0, 5, 0, 1
robot1,7 | 7 | 10 | 7,90, 7,11, 0, 2, 1, 1, 0
robot2,3 | 10 | 5 | 8,86, 3, 8, 3, 0, 1, 0, 0
robot3,4 | 4 | 6 | 10,67, 4, 8, 0, 2, 2, 0, 0
robot2,7 | 8 | 7 | 8,97, 7,15, 4, 0, 2, 1, 0
robot3,4 | 10 | 6 | 5,64, 4, 4, 1, 1, 1, 0, 0
