Winner    ,Points         ,Turns ,Agent Points ,Roads ,Settlements ,Cities ,Knights ,Largest Road ,Largest Army
robot2,2 | 9 | 7 | 6,77, 2, 8, 2, 0, 0, 0, 0
robot3,4 | 6 | 5 | 10,87, 4,11, 2, 1, 1, 0, 0
robot3,8 | 7 | 7 | 10,78, 8, 5, 0, 2, 4, 0, 1
robot1,5 | 9 | 10 | 8,114, 5,13, 3, 1, 0, 0, 0
robot3,2 | 8 | 8 | 9,90, 2, 5, 2, 0, 0, 0, 0
robot1,3 | 10 | 7 | 7,84, 3, 3, 1, 1, 1, 0, 0
robot2,3 | 10 | 8 | 7,84, 3, 6, 1, 1, 0, 0, 0
robot1,4 | 9 | 9 | 10,96, 4,11, 2, 1, 0, 0, 0
robot3,2 | 6 | 6 | 10,73, 2, 3, 2, 0, 0, 0, 0
robot2,4 | 7 | 9 | 10,95, 4, 4, 0, 2, 1, 0, 0
