Winner    ,Points         ,Turns ,Agent Points ,Roads ,Settlements ,Cities ,Knights ,Largest Road ,Largest Army
robot2,3 | 4 | 4 | 10,68, 3, 7, 3, 0, 1, 0, 0
robot3,7 | 8 | 8 | 9,88, 7, 8, 3, 1, 0, 1, 0
robot1,2 | 6 | 5 | 10,63, 2, 7, 2, 0, 1, 0, 0
robot2,5 | 6 | 10 | 8,94, 5,11, 1, 2, 1, 0, 0
robot3,5 | 5 | 10 | 7,84, 5,14, 3, 0, 0, 1, 0
robot1,4 | 9 | 9 | 8,78, 4, 8, 3, 0, 2, 0, 0
robot3,3 | 9 | 10 | 7,76, 3, 3, 1, 1, 0, 0, 0
robot2,7 | 8 | 6 | 7,117, 7,15, 5, 0, 0, 1, 0
robot2,3 | 3 | 10 | 4,72, 3, 7, 3, 0, 1, 0, 0
robot3,5 | 8 | 7 | 5,84, 5,12, 1, 1, 0, 1, 0
